Modulator	TF	significantTriplets	pvalue
Ank2	Tcf3	247	0.0
Ank2	Tgif1	177	3.3146764555347374E-8
Ank2	Zfp36l1	214	1.1102230246251565E-16
Ank3	Zdhhc2	209	1.3322676295501878E-15
Antxr1	Epas1	269	0.0
Antxr1	Nfkb1	223	0.0
Antxr1	Psmc3ip	155	1.6481194314832415E-4
Antxr1	Tcf3	237	0.0
Antxr1	Tcf7	149	0.0010271846261774575
Antxr1	Zfp36l1	188	1.7282086872683067E-10
Antxr2	Epas1	282	0.0
Antxr2	Nfkb1	326	0.0
Antxr2	Tcf3	288	0.0
Antxr2	Tgif1	367	0.0
Antxr2	Zfp36l1	270	0.0
Antxrl	Epas1	357	0.0
Antxrl	Tcf3	184	1.2581454766902311E-9
Antxrl	Tcf7	238	0.0
Anxa1	Epas1	158	6.086820161643747E-5
Anxa1	Nfkb1	604	0.0
Anxa1	Tcf3	298	0.0
Anxa1	Tgif1	343	0.0
Anxa1	Zfp36l1	214	1.1102230246251565E-16
Anxa2	Epas1	194	7.544187496932864E-12
Anxa2	Nfkb1	739	0.0
Anxa2	Tcf3	731	0.0
Anxa2	Tcf7	188	1.7282086872683067E-10
Anxa2	Tgif1	348	0.0
Anxa2	Zdhhc2	227	0.0
Anxa2	Zfp36l1	244	0.0
Anxa4	Epas1	268	0.0
Anxa4	Nfkb1	490	0.0
Anxa4	Psmc3ip	289	0.0
Anxa4	Tcf3	757	0.0
Anxa4	Tgif1	449	0.0
Anxa4	Zfp36l1	307	0.0
Anxa6	Epas1	441	0.0
Anxa6	Tcf7	520	0.0
Apbb1ip	Epas1	155	1.6481194314832415E-4
Apbb1ip	Nfkb1	755	0.0
Apbb1ip	Tcf3	772	0.0
Apbb1ip	Tcf7	191	3.6941338876772534E-11
Apbb1ip	Tgif1	342	0.0
Apbb1ip	Zdhhc2	165	4.848611733110353E-6
Apbb1ip	Zfp36l1	512	0.0
Apc	Epas1	155	1.6481194314832415E-4
Apc	Psmc3ip	211	4.440892098500626E-16
Apc	Tcf3	168	1.503662832136321E-6
Apc	Tcf7	233	0.0
Apc2	Epas1	164	7.081801022601475E-6
Apc2	Tcf7	163	1.0284176798491806E-5
Aph1a	Tcf3	226	0.0
Aph1a	Tcf7	160	3.0417907412982892E-5
Aph1b	Tcf3	205	1.5210055437364645E-14
Aph1b	Zfp36l1	149	0.0010271846261774575
Aplnr	Epas1	208	2.55351295663786E-15
Aplnr	Nfkb1	157	8.534409825400324E-5
Aplnr	Tcf7	194	7.544187496932864E-12
Aplp1	Epas1	225	0.0
Aplp1	Nfkb1	717	0.0
Aplp1	Psmc3ip	152	4.228344153047736E-4
Aplp1	Tcf3	215	0.0
Aplp1	Tgif1	215	0.0
Aplp1	Zfp36l1	300	0.0
Aplp2	Epas1	174	1.2423791595495004E-7
Aplp2	Nfkb1	388	0.0
Aplp2	Tcf3	487	0.0
Aplp2	Tcf7	180	8.42281966395575E-9
Aplp2	Zfp36l1	239	0.0
Apoe	Nfkb1	274	0.0
Apoe	Tcf3	141	0.008350802592771323
Apoe	Tgif1	425	0.0
App	Nfkb1	560	0.0
App	Tcf3	188	1.7282086872683067E-10
App	Tcf7	158	6.086820161643747E-5
App	Zdhhc2	221	0.0
App	Zfp36l1	270	0.0
Ar	Nfkb1	180	8.42281966395575E-9
Ar	Psmc3ip	150	7.687880084403798E-4
Ar	Tcf3	231	0.0
Arap1	Epas1	421	0.0
Arap1	Nfkb1	307	0.0
Arap1	Psmc3ip	180	8.42281966395575E-9
Arap1	Tcf3	204	2.7422508708241367E-14
Arap1	Tcf7	216	0.0
Arap1	Zfp36l1	254	0.0
Arap3	Epas1	195	4.398370556657483E-12
Arap3	Nfkb1	151	5.718873964524196E-4
Arap3	Tcf3	390	0.0
Arap3	Tcf7	147	0.0018002423278427049
Arap3	Tgif1	223	0.0
Arap3	Zfp36l1	224	0.0
Arc	Tcf7	275	0.0
Arf1	Epas1	523	0.0
Arf1	Nfkb1	517	0.0
Arf1	Tcf3	325	0.0
Arf1	Tcf7	534	0.0
Arf1	Zfp36l1	143	0.005133768582017084
Arf4	Epas1	181	5.278091741445223E-9
Arf4	Nfkb1	686	0.0
Arf4	Psmc3ip	151	5.718873964524196E-4
Arf4	Tcf3	649	0.0
Arf4	Tcf7	303	0.0
Arf4	Tgif1	206	8.43769498715119E-15
