rat_entrez_id,mouse_entrez_id
684830,75516
290381,219189
64532,224129
25050,12326
306636,13642
100360664,224823
282821,15116
295885,258177
100364990,56075
308118,56533
362598,66938
405046,258531
405046,258531
684755,81909
103694600,100039810
103694600,100861743
103694600,100862360
103694600,108168596
103694600,100040022
103694600,100041550
103694600,NA
103694600,665276
103694600,100039014
103694600,100039014
103694600,100040223
103694600,20611
103694600,100042337
103694600,100039034
103694600,100040335
108353386,100039810
108353386,100861743
108353386,100862360
108353386,108168596
108353386,100040022
108353386,100041550
108353386,NA
108353386,665276
108353386,100039014
108353386,100039014
108353386,100040223
108353386,20611
108353386,100042337
108353386,100039034
108353386,100040335
305251,73246
24691,22072
310808,229782
114483,12571
295144,381489
311911,227800
170668,233046
100909443,15396
405949,258895
405949,258815
405095,258873
171441,68090
100912259,654818
100912259,654818
100912259,654818
100912259,654818
100912259,654818
313241,230125
29323,22598
108349829,258538
108349829,404321
108349829,258538
108349829,404321
108349829,258538
108349829,404321
691538,67225
57300,67758
310314,67120
362504,53598
313233,230145
314639,103406
499968,67909
362770,68339
364430,27275
103694600,100862345
103694600,75204
103694600,434935
103694600,108168625
103694600,108168634
103694600,108168635
103694600,108168659
103694600,108168661
103694600,108168663
103694600,108168664
103694600,100861667
103694600,101056308
103694600,NA
103694600,100041284
103694600,100862371
103694600,108168554
103694600,108168629
103694600,100041223
108353386,100862345
108353386,75204
108353386,434935
108353386,108168625
108353386,108168634
108353386,108168635
108353386,108168659
108353386,108168661
108353386,108168663
108353386,108168664
108353386,100861667
108353386,101056308
108353386,NA
108353386,100041284
108353386,100862371
108353386,108168554
108353386,108168629
108353386,100041223
59319,228361
81517,17242
298982,59003
362078,77683
360503,66978
288108,72117
679907,NA
294138,258481
24942,12662
365057,26408
500047,93735
295892,258969
100363449,399673
100363449,207213
100363449,NA
366810,258724
405099,258869
252882,381352
50645,11891
314431,278203
432361,100042150
684538,67856
684961,320158
100909423,258432
100909423,258432
686209,258301
686209,258301
108348039,258934
108348039,258934
103694874,17385
306004,246710
302373,213439
299198,73736
363849,15260
499567,69126
315423,74360
362586,66966
294239,51793
363099,225215
295813,110511
295813,258652
363337,NA
363337,NA
363337,NA
363337,NA
363337,545728
363337,NA
363337,70896
363337,NA
363337,NA
363337,623898
363337,NA
498330,74218
362545,94043
317589,70415
299509,432516
315759,19289
313152,387510
171499,57914
103690375,258320
103690375,258320
311952,231050
24706,218772
364206,56193
494233,171201
25283,14629
298598,66147
25658,231103
300560,258869
302325,73809
25594,19046
405137,258270
688913,102323
688913,102323
29709,14406
65171,56807
498485,104383
366111,257921
314046,217473
500624,432628
685716,208166
288358,22114
302045,NA
302045,257985
302045,258068
501795,73072
100911147,627479
100911147,435864
100911147,22307
100911147,384219
100911147,627569
100911147,231589
100911147,231591
100911147,211223
100911147,384220
100911147,384221
100911147,627479
100911147,435864
100911147,22307
100911147,384219
100911147,627569
100911147,231589
100911147,231591
100911147,211223
100911147,384220
100911147,384221
57029,13524
304572,381668
361065,57784
306231,211948
246233,107227
29669,19166
24246,108058
81503,14825
405107,258883
29394,14531
25676,218397
114765,22380
680668,29807
306253,76485
295891,258893
300826,66991
300826,NA
360471,252870
252856,21412
367061,258432
680737,69878
361970,80890
498485,104383
64012,19360
362634,12262
405092,258225
405964,258544
405964,258544
361066,268759
313253,72701
688393,74254
405189,258892
405189,258374
405189,383243
405189,258094
103694731,75204
103694731,434935
103694731,108168625
103694731,108168634
103694731,108168635
103694731,108168659
103694731,108168661
103694731,108168663
103694731,108168664
103694731,100861667
103694731,101056308
103694731,NA
103694731,100041284
103694731,100862371
103694731,108168554
103694731,108168629
103694731,100041223
689030,237336
361554,67070
301374,98404
306254,66923
362479,21399
100145871,11532
100145871,11532
689397,NA
689397,56390
684148,27756
499465,327747
405319,258412
302044,258546
302044,258546
362526,72429
498572,67926
303902,224132
84032,12825
288186,259004
288186,258995
288186,258998
116687,13421
300748,69106
362925,380993
308309,77582
308309,77582
399679,11628
498933,67687
288878,258548
366802,258321
287150,214917
288797,258538
288797,404321
288797,258538
288797,404321
288797,258538
288797,404321
288797,258538
288797,404321
108349829,258538
108349829,404321
499975,84652
404853,258634
102550797,NA
102550797,NA
102550797,NA
102550797,NA
102550797,545728
102550797,NA
102550797,70896
102550797,NA
102550797,NA
102550797,623898
102550797,NA
286894,231440
366109,258654
297025,23925
108348122,76686
