uniprotswissprot;entrezgene_id;symbol
Q8WXB4;80095;ZNF606
P34931;3305;HSPA1L
Q96KS0;112398;EGLN2
A8MYJ7;100287898;TTC34
Q86YV0;64926;RASAL3
P48594;6318;SERPINB4
Q9ULH7;57496;MRTFB
Q6IQ32;22850;ADNP2
Q9BQL6;55612;FERMT1
Q8NFZ4;57555;NLGN2
Q8NEL9;80821;DDHD1
Q96MP5;140831;ZSWIM3
Q96EY1;9093;DNAJA3
Q9NXV2;54442;KCTD5
Q01860;5460;POU5F1
A6NC98;283234;CCDC88B
Q9H1D9;10621;POLR3F
Q9BR11;90204;ZSWIM1
Q92637;2210;FCGR1B
P0DMV8;3303;HSPA1A
P28300;4015;LOX
Q8IX01;10147;SUGP2
Q14114;7804;LRP8
P0DMV9;3304;HSPA1B
Q6PJ61;23403;FBXO46
Q6PCB5;222194;RSBN1L
P62760;7447;VSNL1
Q6T423;387601;SLC22A25
C9JSJ3;388553;BHMG1
P11509;1548;CYP2A6
Q9BRQ5;93129;ORAI3
Q96EU7;29071;C1GALT1C1
Q15029;9343;EFTUD2
Q96M27;133619;PRRC1
Q8N4F4;283238;SLC22A24
O43155;23768;FLRT2
P30531;6529;SLC6A1
P0C2W7;643311;CT47B1
Q12974;8073;PTP4A2
Q6IPT2;112703;AC020909.1
Q5SSJ5;50809;HP1BP3
Q9NPA3;58526;MID1IP1
Q9Y314;51070;NOSIP
Q8N9M5;284114;TMEM102
A9YTQ3;57491;AHRR
Q96D71;85021;REPS1
Q9UBR2;1522;CTSZ
Q4G0N4;133686;NADK2
Q96Q83;221120;ALKBH3
Q0P670;201243;SPEM2
Q17RY0;80315;CPEB4
Q63ZE4;387775;SLC22A10
P23368;4200;ME2
Q8IWI9;23269;MGA
Q8IV77;1262;CNGA4
Q15661;7177;TPSAB1
P41968;4159;MC3R
Q96H55;80179;MYO19
Q6PCT2;54620;FBXL19
P51570;2584;GALK1
Q9BR10;128497;SPATA25
Q8NH67;143502;OR52I2
Q92914;2256;FGF11
P61326;4116;MAGOH
Q8NGK6;390037;OR52I1
O15498;10652;YKT6
Q6P5X5;128977;C22orf39
Q6ZS30;65065;NBEAL1
Q5UCC4;284361;EMC10
O75340;10016;PDCD6
P20853;1549;CYP2A7
Q8N1B4;6293;VPS52
Q6ZPD9;147991;DPY19L3
Q8N4L4;374768;SPEM1
P22694;5567;PRKACB
Q9NQ50;64976;MRPL40
Q9BT40;51763;INPP5K
O15444;6370;CCL25
Q8TAA3;143471;PSMA8
P16591;2241;FER
Q8TCS8;87178;PNPT1
Q8N7M0;200132;TCTEX1D1
P27338;4129;MAOB
Q8WUA2;85313;PPIL4
O15209;9278;ZBTB22
P17693;3135;HLA-G
Q9Y2M0;22909;FAN1
Q6NXE6;93436;ARMC6
Q10571;4330;MN1
Q5T4S7;23352;UBR4
Q6ZMI3;342035;GLDN
P62269;6222;RPS18
Q96KR6;116151;FAM210B
Q6ZQQ6;83889;WDR87
Q8N6W0;60680;CELF5
P11230;1140;CHRNB1
P15514;374;AREG
O15198;4093;SMAD9
O75845;6309;SC5D
Q9H1R3;85366;MYLK2
Q96Q27;51676;ASB2
Q8N8N0;220441;RNF152
Q14588;10780;ZNF234
Q96PD5;114770;PGLYRP2
Q9UHA3;51187;RSL24D1
Q6K0P9;149628;PYHIN1
Q9Y333;57819;LSM2
A0A1B0GUW6;107983988;SPEM3
Q86VW1;85413;SLC22A16
P55789;2671;GFER
Q00604;4693;NDP
Q8IYW4;150350;ENTHD1
O75592;23077;MYCBP2
Q9BSK4;55527;FEM1A
Q5SRR4;80741;LY6G5C
O43638;2307;FOXS1
Q92890;7353;UFD1
Q6AZZ1;55128;TRIM68
Q9H2L4;85025;TMEM60
Q9BR09;140825;NEURL2
P31040;6389;SDHA
P0DMV8;3303;HSPA1A
Q5TGL8;221749;PXDC1
P0DMV9;3304;HSPA1B
O43761;9143;SYNGR3
Q12887;1352;COX10
Q6ECI4;388566;ZNF470
Q8WW52;338094;FAM151A
Q9NUM4;54664;TMEM106B
P10635;1565;CYP2D6
P10635;107987478;CYP2D6
P10635;107987479;CYP2D6
Q5JST6;80258;EFHC2
Q13158;8772;FADD
Q6ZVL6;25758;KIAA1549L
Q9C0B2;85452;CFAP74
Q8TBK6;54819;ZCCHC10
Q9HAF1;64769;MEAF6
Q99748;4902;NRTN
