p1,p2,pvalue
P46108,Q99578,0.03324448393306678
P05067,Q9UKX5,0.09716669134705563
Q9BS40,P08138,0.006071375684880794
P09382,P06703,0.004047583789920529
P10147,Q01151,0.0018263487832568242
P24593,P35590,0.012710400315908978
P46108,Q9Y4J8,0.0479539957549731
P05067,P29274,0.05409941260674268
P61769,P06756,0.04020435362061306
P05067,Q08462,0.08443161064218373
P19022,P54764,0.012512957204205538
P09382,P78423,0.0038501406782170886
P05067,Q9NPG1,0.151735031344094
P14136,P49810,0.002171874228737845
P61769,P17301,0.016116293992793327
P05067,O14492,0.051779456044227255
P23528,P29317,0.010020237918949603
P05067,Q15438,0.15514092502097834
P00738,P25116,0.006022014906954934
P52597,Q92542,0.003085048620366257
P61769,P05556,0.012241472925613308
P61769,O60674,0.020953650229527616
P04179,O60603,0.0024433585073300756
P05019,O60674,0.0034058936768843477
P46108,O60674,0.046004245026901626
P46108,Q01082,0.02162002073152673
P61769,Q99650,0.006466261908287674
P05067,O43306,0.07043783010020238
P05067,P20827,0.09886963818549781
P01034,Q01082,0.011673823979465916
P05067,P35590,0.1071622488770423
P05067,P16473,0.051804136433190186
P09382,O14939,0.007527518633693667
P05067,Q96P68,0.15568389357816279
P61769,Q8NI17,0.009970877141023743
P05019,P49810,0.009329187027987561
P61769,P24394,0.002097833061849055
P46108,A4D1S5,0.03363937015647367
Q15121,Q99523,0.003553976010661928
P05067,Q01973,0.01315464731724172
P06703,P06703,1.2340194481465027e-4
P05019,P36897,0.028777333530776446
P24593,P09619,0.007206673577175577
P05067,P08913,0.06631620514339306
P01034,P17252,0.028826694308702307
P05067,P14416,0.04025371439853892
P61769,P26006,0.033047040821363345
P23528,O14920,0.00881089885976603
P19022,P78352,0.01359889431857446
P05067,Q9UN88,0.15639962485808775
P05067,P62491,0.04035243595439064
P01034,P29323,0.01357421392961153
P29279,P18084,0.0033812132879214177
P10253,Q9BUZ4,0.004047583789920529
P05067,P36896,0.07611431956167629
P05067,P26718,0.12073646280665383
P46108,P51151,0.010316402586504764
P46108,P41240,0.019966434671010416
P61769,Q9NYQ6,0.040895404511575105
P09382,Q04900,0.0046152327360679205
P46108,P10721,0.0018016683942938942
P46108,O14492,0.015326521545979565
P19022,P01732,0.010267041808578903
P05067,P62745,0.15393158596179476
P05019,Q99835,0.009551310528653932
P46108,P42566,7.897724468137618e-4
P23528,P63000,0.019694950392418184
P01034,P21860,0.011204896589170244
P05067,O94910,0.097388814847722
P19022,Q9NYQ7,0.004047583789920529
P14136,P49768,0.002319956562515425
P61978,P05556,0.01320400809516758
P00738,O60674,0.026482057357223948
P46108,P49810,0.04190730045905523
P23528,P29474,0.017893281998124292
P05067,O43614,0.050224591539562664
P23528,O60716,0.012290833703539167
P05019,P17252,0.014734192210869244
P05067,P51582,0.097388814847722
P05067,P54753,0.07211609654968162
P61769,Q14289,0.042721753294831924
P05067,Q7Z698,0.09889431857446074
P46108,O00212,0.0368725011106175
P05067,P11215,0.11130855422281455
P19022,Q04900,0.007354755910953157
P05067,Q13585,0.15652302680290242
P46108,Q15907,0.015351201934942495
P61769,O43508,0.003109729009329187
P05067,Q8TDF6,0.1170097240732514
P05067,Q15139,0.12912779505405006
P01034,O60674,0.03630485216447011
P24593,Q9Y6N7,0.013944419764055482
P01034,P05556,0.01779456044227257
P05067,Q16602,0.09650032084505651
P09382,Q92729,0.0045165111802162004
P61769,P19438,0.02539612024285503
