Modulator,TF,pvalue
Jag2,Nfkb1,0.02811132872749824
Mras,Nfkb1,0.02811132872749824
Il1rl1,Nfkb1,0.029259604157893252
Rab35,Nfkb1,0.03045574059608858
Rasa4,Nfkb1,0.03045574059608858
P2ry4,Nfkb1,0.03086544117444532
Plxna1,Nfkb1,0.03086544117444532
Epha4,Nfkb1,0.031701793548491605
Drd1,Nfkb1,0.03344457168879431
Csf1r,Nfkb1,0.03435233747857098
Adcy9,Nfkb1,0.03481561755519536
Slc9a3r1,Nfkb1,0.03528528129902062
Rgs17,Nfkb1,0.03673348957519528
Iqgap1,Nfkb1,0.03773258180181276
Rgs6,Nfkb1,0.038759473116189484
Tulp3,Nfkb1,0.038759473116189484
Ly6e,Nfkb1,0.03928359262525234
Rab10,Nfkb1,0.039814963946632045
Fgd2,Nfkb1,0.04035369093636981
Ddr1,Nfkb1,0.042015068156628574
Rala,Nfkb1,0.042015068156628574
Tnfrsf21,Nfkb1,0.04258428813633684
Ralgps2,Nfkb1,0.04316140711164763
Dner,Nfkb1,0.04374653874412386
Ptk2b,Nfkb1,0.04374653874412386
Tnfrsf19,Nfkb1,0.04494130330526545
Itgb3,Nfkb1,0.045551172322188464
Il6ra,Nfkb1,0.046169526231863274
Usp8,Nfkb1,0.046169526231863274
Gna11,Nfkb1,0.04939292674333935
Adgra2,Nfkb1,0.050746120116339805
Nmur1,Nfkb1,0.050746120116339805
Rock2,Nfkb1,0.05213739619521305
Celsr2,Nfkb1,0.05284766299325528
Unc13a,Nfkb1,0.05284766299325528
Rasl10b,Nfkb1,0.05356787208853976
Adcy4,Nfkb1,0.05503869988770043
Rab14,Nfkb1,0.056551067880378364
Rgs9,Nfkb1,0.05732321099625298
Rhoa,Nfkb1,0.05732321099625298
Grin2c,Nfkb1,0.05810620181300829
Grik4,Nfkb1,0.05890019961741453
Itga6,Nfkb1,0.05970536620456412
P2ry6,Nfkb1,0.05970536620456412
Olfr187,Nfkb1,0.060521865921916045
Gabra2,Nfkb1,0.0621895351695298
Rasgrf2,Nfkb1,0.06304104656576638
Rab5a,Nfkb1,0.06390457491879466
Ptprt,Nfkb1,0.06478029803109842
Ror2,Nfkb1,0.06566839654164291
Lancl2,Nfkb1,0.06656905397676763
Dgkz,Nfkb1,0.06748245680215571
Elmo1,Nfkb1,0.06748245680215571
Npffr2,Nfkb1,0.06748245680215571
Plek2,Nfkb1,0.06840879447591626
Ube2b,Nfkb1,0.06840879447591626
Homer3,Nfkb1,0.07030104748961168
Tgfbr1,Nfkb1,0.07126735720175346
Dlg4,Nfkb1,0.07424945294689894
Rhoj,Nfkb1,0.07630891692905657
Magi3,Nfkb1,0.08060705871507362
Olfr1052,Nfkb1,0.08060705871507362
Arhgap33,Nfkb1,0.08399469357582498
Atp6ap2,Nfkb1,0.08399469357582498
Epha1,Nfkb1,0.08399469357582498
Sla2,Nfkb1,0.08399469357582498
Grin2b,Nfkb1,0.0851564216019113
Lpar1,Nfkb1,0.0851564216019113
Gabrb3,Nfkb1,0.08633482057021308
Mib1,Nfkb1,0.08633482057021308
Adcy3,Nfkb1,0.08874265103398345
Arap3,Nfkb1,0.08997260310616399
Rab9b,Nfkb1,0.08997260310616399
Chrnb1,Nfkb1,0.09248591543746851
Rit1,Nfkb1,0.09248591543746851
Gpr65,Nfkb1,0.09639354491726192
Grm1,Nfkb1,0.09639354491726192
Ptprc,Nfkb1,0.09639354491726192
L1cam,Nfkb1,0.09909373645985699
